Pos	Score	Topology
16.6	0.279239195	Bongo+MountainNyala
16.7	0.233397562	Bongo+MountainNyala
16.8	0.36325437	Bongo+MountainNyala
16.9	0.400895866	Bongo+MountainNyala
17	0.478639902	Bongo+MountainNyala
17.1	0.195715496	Bongo+MountainNyala
17.2	0.343619791	Bongo+MountainNyala
17.3	0.318044005	Bongo+MountainNyala
17.4	0.197656958	Bongo+MountainNyala
17.5	0.253494777	Bongo+MountainNyala
17.6	0.166986789	Bongo+MountainNyala
17.7	0.474656287	Bongo+MountainNyala
17.8	0.442068849	Bongo+MountainNyala
17.9	0.487374527	Bongo+MountainNyala
18	0.410390556	Bongo+MountainNyala
18.1	0.457336115	Bongo+MountainNyala
18.2	0.520382322	Bongo+MountainNyala
18.3	0.172133228	Bongo+MountainNyala
18.4	0.611477578	Bongo+MountainNyala
18.5	0.235224403	Bongo+MountainNyala
18.6	0.396758283	Bongo+MountainNyala
18.7	0.439766662	Bongo+MountainNyala
18.8	0.31729616	Bongo+MountainNyala
18.9	0.303966936	Bongo+MountainNyala
19	0.158775409	Bongo+MountainNyala
19.1	0.426508311	Bongo+MountainNyala
19.2	0.485895946	Bongo+MountainNyala
19.3	0.249621139	Bongo+MountainNyala
19.4	0.412240615	Bongo+MountainNyala
19.5	0.311851072	Bongo+MountainNyala
19.6	0.293374919	Bongo+MountainNyala
19.7	0.27076607	Bongo+MountainNyala
19.8	0.306914322	Bongo+MountainNyala
19.9	0.237217189	Bongo+MountainNyala
20	0.060238614	Bongo+MountainNyala
20.1	0.676232096	Bongo+MountainNyala
20.2	0.479035819	Bongo+MountainNyala
20.3	0.396662969	Bongo+MountainNyala
20.4	0.223538237	Bongo+MountainNyala
20.5	0.186670735	Bongo+MountainNyala
20.6	0.209502226	Bongo+MountainNyala
20.7	0.231299199	Bongo+MountainNyala
20.8	0.17433668	Bongo+MountainNyala
20.9	0.496409757	Bongo+MountainNyala
21	0.434292246	Bongo+MountainNyala
21.1	0.340897247	Bongo+MountainNyala
21.2	0.497472869	Bongo+MountainNyala
21.3	0.462458604	Bongo+MountainNyala
21.4	0.523642532	Bongo+MountainNyala
21.5	0.547793504	Bongo+MountainNyala
21.6	0.80263489	Bongo+MountainNyala
21.7	0.216945476	Bongo+MountainNyala
21.8	0.326284956	Bongo+MountainNyala
21.9	0.258908095	Bongo+MountainNyala
22	0.502700448	Bongo+MountainNyala
22.1	0.489297905	Bongo+MountainNyala
22.2	0.273989621	Bongo+MountainNyala
22.3	0.258776122	Bongo+MountainNyala
22.4	0.315370339	Bongo+MountainNyala
22.5	0.456079932	Bongo+MountainNyala
22.6	0.199077618	Bongo+MountainNyala
22.7	0.615312113	Bongo+MountainNyala
22.8	0.238034685	Bongo+MountainNyala
22.9	0.289300878	Bongo+MountainNyala
23	0.278017227	Bongo+MountainNyala
23.1	0.300220382	Bongo+MountainNyala
23.2	0.486880852	Bongo+MountainNyala
23.3	0.324874805	Bongo+MountainNyala
23.4	0.216196898	Bongo+MountainNyala
23.5	0.339281805	Bongo+MountainNyala
23.6	0.268307471	Bongo+MountainNyala
23.7	0.271462592	Bongo+MountainNyala
23.8	0.583953975	Bongo+MountainNyala
23.9	0.403083188	Bongo+MountainNyala
24	0.216672244	Bongo+MountainNyala
24.1	0.328340305	Bongo+MountainNyala
24.2	0.351230206	Bongo+MountainNyala
24.3	0.205458001	Bongo+MountainNyala
24.4	0.688405339	Bongo+MountainNyala
24.5	0.44052917	Bongo+MountainNyala
24.6	0.321445963	Bongo+MountainNyala
24.7	0.648327239	Bongo+MountainNyala
24.8	0.196464073	Bongo+MountainNyala
24.9	0.380012436	Bongo+MountainNyala
25	0.43336355	Bongo+MountainNyala
25.1	0.339819471	Bongo+MountainNyala
25.2	0.351973163	Bongo+MountainNyala
25.3	0.195696433	Bongo+MountainNyala
25.4	0.534007263	Bongo+MountainNyala
25.5	0.288777876	Bongo+MountainNyala
25.6	0.427551872	Bongo+MountainNyala
25.7	0.147173314	Bongo+MountainNyala
25.8	0.119332244	Bongo+MountainNyala
25.9	0.079666191	Bongo+MountainNyala
26	0.237574248	Bongo+MountainNyala
26.1	0.598187456	Bongo+MountainNyala
26.2	0.529811025	Bongo+MountainNyala
26.3	0.192611698	Bongo+MountainNyala
26.4	0.217987326	Bongo+MountainNyala
26.5	0.478014254	Bongo+MountainNyala
26.6	0.450502871	Bongo+MountainNyala
26.7	0.429167313	Bongo+MountainNyala
26.8	0.392720901	Bongo+MountainNyala
26.9	0.37348224	Bongo+MountainNyala
27	0.180981986	Bongo+MountainNyala
27.1	0.255068672	Bongo+MountainNyala
27.2	0.207667074	Bongo+MountainNyala
27.3	0.181368372	Bongo+MountainNyala
27.4	0.271289073	Bongo+MountainNyala
27.5	0.184275922	Bongo+MountainNyala
27.6	0.295068566	Bongo+MountainNyala
27.7	0.434509756	Bongo+MountainNyala
27.8	0.529256252	Bongo+MountainNyala
27.9	0.111403139	Bongo+MountainNyala
28	0.291324457	Bongo+MountainNyala
28.1	0.316795154	Bongo+MountainNyala
28.2	0.318870055	Bongo+MountainNyala
28.3	0.297923083	Bongo+MountainNyala
28.4	0.215960081	Bongo+MountainNyala
28.5	0.335613458	Bongo+MountainNyala
28.6	0.408278995	Bongo+MountainNyala
28.7	0.407707114	Bongo+MountainNyala
28.8	0.329332543	Bongo+MountainNyala
28.9	0.273989621	Bongo+MountainNyala
29	0.509306406	Bongo+MountainNyala
29.1	0.284361684	Bongo+MountainNyala
29.2	0.571265061	Bongo+MountainNyala
29.3	0.314527181	Bongo+MountainNyala
29.4	0.430232869	Bongo+MountainNyala
29.5	0.485128551	Bongo+MountainNyala
29.6	0.345347653	Bongo+MountainNyala
29.7	0.314343886	Bongo+MountainNyala
29.8	0.259660827	Bongo+MountainNyala
29.9	0.539239729	Bongo+MountainNyala
30	0.259391994	Bongo+MountainNyala
30.1	0.336784103	Bongo+MountainNyala
30.2	0.265763334	Bongo+MountainNyala
30.3	0.300508767	Bongo+MountainNyala
30.4	0.403070969	Bongo+MountainNyala
30.5	0.46391519	Bongo+MountainNyala
30.6	0.49425665	Bongo+MountainNyala
30.7	0.504056832	Bongo+MountainNyala
30.8	0.244017195	Bongo+MountainNyala
30.9	0.234957281	Bongo+MountainNyala
31	0.209274206	Bongo+MountainNyala
31.1	0.518590917	Bongo+MountainNyala
31.2	0.335613458	Bongo+MountainNyala
31.3	0.316775602	Bongo+MountainNyala
31.4	0.397581889	Bongo+MountainNyala
31.5	0.222213135	Bongo+MountainNyala
31.6	0.185030121	Bongo+MountainNyala
31.7	0.30387651	Bongo+MountainNyala
31.8	0.28534659	Bongo+MountainNyala
31.9	0.344135461	Bongo+MountainNyala
32	0.309500006	Bongo+MountainNyala
32.1	0.27322467	Bongo+MountainNyala
32.2	0.267312789	Bongo+MountainNyala
32.3	0.188520061	Bongo+MountainNyala
32.4	0.40576663	Bongo+MountainNyala
32.5	0.136915138	Bongo+MountainNyala
32.6	0.334953595	Bongo+MountainNyala
32.7	0.47324858	Bongo+MountainNyala
32.8	0.215610109	Bongo+MountainNyala
32.9	0.387957671	Bongo+MountainNyala
33	0.340621082	Bongo+MountainNyala
33.1	0.268957558	Bongo+MountainNyala
33.2	0.343201878	Bongo+MountainNyala
33.3	0.274585942	Bongo+MountainNyala
33.4	0.298167476	Bongo+MountainNyala
33.5	0.317491675	Bongo+MountainNyala
33.6	0.487890198	Bongo+MountainNyala
33.7	0.609720388	Bongo+MountainNyala
33.8	0.481699709	Bongo+MountainNyala
33.9	0.148265753	Bongo+MountainNyala
34	0.210753032	Bongo+MountainNyala
34.1	0.067270061	Bongo+MountainNyala
34.2	0.301222396	Bongo+MountainNyala
34.3	0.278129648	Bongo+MountainNyala
34.4	0.398148882	Bongo+MountainNyala
34.5	0.377759127	Bongo+MountainNyala
34.6	0.447003155	Bongo+MountainNyala
34.7	0.25052784	Bongo+MountainNyala
34.8	0.417431534	Bongo+MountainNyala
34.9	0.700111791	Bongo+MountainNyala
35	0.549411389	Bongo+MountainNyala
35.1	0.329999738	Bongo+MountainNyala
35.2	0.292504878	Bongo+MountainNyala
35.3	0.354986535	Bongo+MountainNyala
35.4	0.190649217	Bongo+MountainNyala
35.5	0.035076341	Bongo+MountainNyala
35.6	0.175635143	Bongo+MountainNyala
35.7	0.147086065	Bongo+MountainNyala
35.8	0.152795343	Bongo+MountainNyala
35.9	0.421862389	Bongo+MountainNyala
36	0.25500513	Bongo+MountainNyala
36.1	0.445250853	Bongo+MountainNyala
36.2	0.358601116	Bongo+MountainNyala
36.3	0.480480185	Bongo+MountainNyala
36.4	0.164335852	Bongo+MountainNyala
36.5	0.308532207	Bongo+MountainNyala
36.6	0.433172923	Bongo+MountainNyala
36.7	0.161831306	Bongo+MountainNyala
36.8	0.218974676	Bongo+MountainNyala
36.9	0.186820792	Bongo+MountainNyala
37	0.39670696	Bongo+MountainNyala
37.1	0.4862772	Bongo+MountainNyala
37.2	0.176731493	Bongo+MountainNyala
37.3	0.384800106	Bongo+MountainNyala
37.4	0.555105759	Bongo+MountainNyala
37.5	0.311271859	Bongo+MountainNyala
37.6	0.118611283	Bongo+MountainNyala
37.7	0.079915961	Bongo+MountainNyala
37.8	0.314617607	Bongo+MountainNyala
37.9	0.141023394	Bongo+MountainNyala
38	0.058833106	Bongo+MountainNyala
38.1	0.249112801	Bongo+MountainNyala
38.2	0.467507775	Bongo+MountainNyala
38.3	0.168920919	Bongo+MountainNyala
38.4	0.49661016	Bongo+MountainNyala
38.5	0.144545594	Bongo+MountainNyala
38.6	0.271851178	Bongo+MountainNyala
38.7	0.075369997	Bongo+MountainNyala
38.8	0.27958379	Bongo+MountainNyala
38.9	0.521601846	Bongo+MountainNyala
39	0.246004115	Bongo+MountainNyala
39.1	0.354509968	Bongo+MountainNyala
39.2	0.275101612	Bongo+MountainNyala
39.3	0.285957574	Bongo+MountainNyala
39.4	0.307889452	Bongo+MountainNyala
39.5	0.572860951	Bongo+MountainNyala
39.6	0.10820476	Bongo+MountainNyala
39.7	0.099403415	Bongo+MountainNyala
39.8	0.217932826	Bongo+MountainNyala
39.9	0.565531588	Bongo+MountainNyala
40	0.199249183	Bongo+MountainNyala
40.1	0.679284571	Bongo+MountainNyala
40.2	0.158904449	Bongo+MountainNyala
40.3	0.295447376	Bongo+MountainNyala
40.4	0.342996587	Bongo+MountainNyala
40.5	0.306862999	Bongo+MountainNyala
40.6	0.426232146	Bongo+MountainNyala
40.7	0.289432851	Bongo+MountainNyala
40.8	0.140276527	Bongo+MountainNyala
40.9	0.493125108	Bongo+MountainNyala
41	0.351352403	Bongo+MountainNyala
41.1	0.481152267	Bongo+MountainNyala
41.2	0.429379935	Bongo+MountainNyala
41.3	0.53625324	Bongo+MountainNyala
41.4	0.280610243	Bongo+MountainNyala
41.5	0.539286164	Bongo+MountainNyala
41.6	0.44460321	Bongo+MountainNyala
41.7	0.656558414	Bongo+MountainNyala
41.8	0.169404085	Bongo+MountainNyala
41.9	0.393495629	Bongo+MountainNyala
42	0.248399172	Bongo+MountainNyala
42.1	0.289085812	Bongo+MountainNyala
42.2	0.470831527	Bongo+MountainNyala
42.3	0.384049818	Bongo+MountainNyala
42.4	0.478808533	Bongo+MountainNyala
42.5	0.668824527	Bongo+MountainNyala
42.6	0.397401038	Bongo+MountainNyala
42.7	0.24945984	Bongo+MountainNyala
42.8	0.562965456	Bongo+MountainNyala
42.9	0.452462907	Bongo+MountainNyala
43	0.246942586	Bongo+MountainNyala
43.1	0.248961277	Bongo+MountainNyala
43.2	0.597654678	Bongo+MountainNyala
43.3	0.200712611	Bongo+MountainNyala
43.4	0.266239902	Bongo+MountainNyala
43.5	0.307989654	Bongo+MountainNyala
43.6	0.620419938	Bongo+MountainNyala
43.7	0.323110283	Bongo+MountainNyala
43.8	0.269651636	Bongo+MountainNyala
43.9	0.391386512	Bongo+MountainNyala
44	0.365639651	Bongo+MountainNyala
44.1	0.552170592	Bongo+MountainNyala
44.2	0.555186409	Bongo+MountainNyala
44.3	0.16391525	Bongo+MountainNyala
44.4	0.402567518	Bongo+MountainNyala
44.5	0.298277453	Bongo+MountainNyala
44.6	0.470596909	Bongo+MountainNyala
44.7	0.43436312	Bongo+MountainNyala
44.8	0.677033707	Bongo+MountainNyala
44.9	0.37522721	Bongo+MountainNyala
45	0.32116491	Bongo+MountainNyala
45.1	0.314837561	Bongo+MountainNyala
45.2	0.438813527	Bongo+MountainNyala
45.3	0.126735902	Bongo+MountainNyala
45.4	0.315871346	Bongo+MountainNyala
45.5	0.509804969	Bongo+MountainNyala
45.6	0.541991601	Bongo+MountainNyala
45.7	0.613339857	Bongo+MountainNyala
45.8	0.320226439	Bongo+MountainNyala
45.9	0.321216233	Bongo+MountainNyala
46	0.432425079	Bongo+MountainNyala
46.1	0.369716135	Bongo+MountainNyala
46.2	0.243516433	Bongo+MountainNyala
46.3	0.321626814	Bongo+MountainNyala
46.4	0.268847581	Bongo+MountainNyala
46.5	0.422546691	Bongo+MountainNyala
46.6	0.438842854	Bongo+MountainNyala
46.7	0.363171276	Bongo+MountainNyala
46.8	0.727997096	Bongo+MountainNyala
46.9	0.295779751	Bongo+MountainNyala
47	0.491470564	Bongo+MountainNyala
47.1	0.428487899	Bongo+MountainNyala
47.2	0.465291125	Bongo+MountainNyala
47.3	0.295655111	Bongo+MountainNyala
47.4	0.468656425	Bongo+MountainNyala
47.5	0.273994509	Bongo+MountainNyala
47.6	0.457521854	Bongo+MountainNyala
47.7	0.372436236	Bongo+MountainNyala
47.8	0.395648736	Bongo+MountainNyala
47.9	0.39915334	Bongo+MountainNyala
48	0.658308272	Bongo+MountainNyala
48.1	0.480245567	Bongo+MountainNyala
48.2	0.204349676	Bongo+MountainNyala
48.3	0.304951842	Bongo+MountainNyala
48.4	0.326744415	Bongo+MountainNyala
48.5	0.161527036	Bongo+MountainNyala
48.6	0.3103285	Bongo+MountainNyala
48.7	0.317301048	Bongo+MountainNyala
48.8	0.358122105	Bongo+MountainNyala
48.9	0.101993742	Bongo+MountainNyala
49	0.296104795	Bongo+MountainNyala
49.1	0.445627219	Bongo+MountainNyala
49.2	0.211457618	Bongo+MountainNyala
49.3	0.383130898	Bongo+MountainNyala
49.4	0.283425657	Bongo+MountainNyala
49.5	0.389299391	Bongo+MountainNyala
49.6	0.251109496	Bongo+MountainNyala
49.7	0.364923578	Bongo+MountainNyala
49.8	0.371822808	Bongo+MountainNyala
49.9	0.31661919	Bongo+MountainNyala
50	0.553524533	Bongo+MountainNyala
50.1	0.272479269	Bongo+MountainNyala
50.2	0.192840939	Bongo+MountainNyala
50.3	0.305186459	Bongo+MountainNyala
50.4	0.509181765	Bongo+MountainNyala
50.5	0.277926802	Bongo+MountainNyala
50.6	0.406849293	Bongo+MountainNyala
50.7	0.348197282	Bongo+MountainNyala
50.8	0.21647844	Bongo+MountainNyala
50.9	0.286624768	Bongo+MountainNyala
51	0.16670598	Bongo+MountainNyala
51.1	0.223874278	Bongo+MountainNyala
51.2	0.265357641	Bongo+MountainNyala
51.3	0.123074642	Bongo+MountainNyala
51.4	0.310763521	Bongo+MountainNyala
51.5	0.331571188	Bongo+MountainNyala
51.6	0.289928969	Bongo+MountainNyala
51.7	0.549369842	Bongo+MountainNyala
51.8	0.296764657	Bongo+MountainNyala
51.9	0.378941992	Bongo+MountainNyala
52	0.332419234	Bongo+MountainNyala
52.1	0.33219928	Bongo+MountainNyala
52.2	0.411109073	Bongo+MountainNyala
52.3	0.300107961	Bongo+MountainNyala
52.4	0.217809407	Bongo+MountainNyala
52.5	0.267083059	Bongo+MountainNyala
52.6	0.288037363	Bongo+MountainNyala
52.7	0.037575754	Bongo+MountainNyala
52.8	0.326177422	Bongo+MountainNyala
52.9	0.258443747	Bongo+MountainNyala
53	0.269238611	Bongo+MountainNyala
53.1	0.325627537	Bongo+MountainNyala
53.2	0.383529259	Bongo+MountainNyala
53.3	0.298304337	Bongo+MountainNyala
53.4	0.388390247	Bongo+MountainNyala
53.5	0.362308566	Bongo+MountainNyala
53.6	0.080463403	Bongo+MountainNyala
53.7	0.260882795	Bongo+MountainNyala
53.8	0.302793846	Bongo+MountainNyala
53.9	0.487973292	Bongo+MountainNyala
54	0.188939929	Bongo+MountainNyala
54.1	0.129508058	Bongo+MountainNyala
54.2	0.348241273	Bongo+MountainNyala
54.3	0.372580428	Bongo+MountainNyala
54.4	0.332301925	Bongo+MountainNyala
54.5	0.299460318	Bongo+MountainNyala
54.6	0.307718377	Bongo+MountainNyala
54.7	0.322709478	Bongo+MountainNyala
54.8	0.433627495	Bongo+MountainNyala
54.9	0.414855626	Bongo+MountainNyala
55	0.378543631	Bongo+MountainNyala
55.1	0.40871646	Bongo+MountainNyala
55.2	0.426197931	Bongo+MountainNyala
55.3	0.307649947	Bongo+MountainNyala
55.4	0.16614412	Bongo+MountainNyala
55.5	0.420210289	Bongo+MountainNyala
55.6	0.125895188	Bongo+MountainNyala
55.7	0.370385774	Bongo+MountainNyala
55.8	0.307740372	Bongo+MountainNyala
55.9	0.352364192	Bongo+MountainNyala
56	0.236571501	Bongo+MountainNyala
56.1	0.407968616	Bongo+MountainNyala
56.2	0.294780182	Bongo+MountainNyala
56.3	0.337226455	Bongo+MountainNyala
56.4	0.272149338	Bongo+MountainNyala
56.5	0.458088847	Bongo+MountainNyala
56.6	0.256078017	Bongo+MountainNyala
56.7	0.418611955	Bongo+MountainNyala
56.8	0.359786425	Bongo+MountainNyala
56.9	0.443918908	Bongo+MountainNyala
57	0.329992406	Bongo+MountainNyala
57.1	0.236050943	Bongo+MountainNyala
57.2	0.091974095	Bongo+MountainNyala
57.3	0.189072146	Bongo+MountainNyala
57.4	0.112124833	Bongo+MountainNyala
57.5	0.321379977	Bongo+MountainNyala
57.6	0.329840882	Bongo+MountainNyala
57.7	0.23554016	Bongo+MountainNyala
57.8	0.177070711	Bongo+MountainNyala
57.9	0.160031837	Bongo+MountainNyala
58	0.397144425	Bongo+MountainNyala
58.1	0.445685874	Bongo+MountainNyala
58.2	0.218103168	Bongo+MountainNyala
58.3	0.289088256	Bongo+MountainNyala
58.4	0.298680703	Bongo+MountainNyala
58.5	0.232391882	Bongo+MountainNyala
58.6	0.074372871	Bongo+MountainNyala
58.7	0.572616558	Bongo+MountainNyala
58.8	0.266359654	Bongo+MountainNyala
58.9	0.215047027	Bongo+MountainNyala
59	0.43884041	Bongo+MountainNyala
59.1	0.203457151	Bongo+MountainNyala
59.2	0.138400074	Bongo+MountainNyala
59.3	0.380479228	Bongo+MountainNyala
59.4	0.36286334	Bongo+MountainNyala
59.5	0.239160851	Bongo+MountainNyala
59.6	0.283310792	Bongo+MountainNyala
59.7	0.448225123	Bongo+MountainNyala
59.8	0.305980739	Bongo+MountainNyala
59.9	0.366517024	Bongo+MountainNyala
60	0.453479584	Bongo+MountainNyala
60.1	0.441985755	Bongo+MountainNyala
60.2	0.240894579	Bongo+MountainNyala
60.3	0.213003163	Bongo+MountainNyala
60.4	0.310533791	Bongo+MountainNyala
60.5	0.296312529	Bongo+MountainNyala
60.6	0.232411189	Bongo+MountainNyala
60.7	0.552744917	Bongo+MountainNyala
60.8	0.290813674	Bongo+MountainNyala
60.9	0.319087565	Bongo+MountainNyala
61	0.399866969	Bongo+MountainNyala
61.1	0.289278883	Bongo+MountainNyala
61.2	0.343822638	Bongo+MountainNyala
61.3	0.391073689	Bongo+MountainNyala
61.4	0.431530599	Bongo+MountainNyala
61.5	0.318711199	Bongo+MountainNyala
61.6	0.456444078	Bongo+MountainNyala
61.7	0.377314331	Bongo+MountainNyala
61.8	0.274581054	Bongo+MountainNyala
61.9	0.290913875	Bongo+MountainNyala
62	0.492101099	Bongo+MountainNyala
62.1	0.458496984	Bongo+MountainNyala
62.2	0.239607602	Bongo+MountainNyala
62.3	0.427742499	Bongo+MountainNyala
62.4	0.490519873	Bongo+MountainNyala
62.5	0.48713991	Bongo+MountainNyala
62.6	0.569759597	Bongo+MountainNyala
62.7	0.61198836	Bongo+MountainNyala
62.8	0.465071171	Bongo+MountainNyala
62.9	0.548438703	Bongo+MountainNyala
63	0.454481598	Bongo+MountainNyala
63.1	0.378836903	Bongo+MountainNyala
63.2	0.312188335	Bongo+MountainNyala
63.3	0.445307064	Bongo+MountainNyala
63.4	0.155131746	Bongo+MountainNyala
63.5	0.35737426	Bongo+MountainNyala
63.6	0.389609771	Bongo+MountainNyala
63.7	0.639294453	Bongo+MountainNyala
63.8	0.13966481	Bongo+MountainNyala
63.9	0.213261487	Bongo+MountainNyala
64	0.476293723	Bongo+MountainNyala
